(APIServer pid=1) INFO 08-05 05:16:42 [metrics.py:103] KV Transfer metrics: Num successful transfers=56, Avg xfer time (ms)=52.432, P90 xfer time (ms)=116.192, Avg post time (ms)=9.944, P90 post time (ms)=62.561, Avg MB per transfer=940.0, Throughput (MB/s)=17928.142, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:16:52 [metrics.py:103] KV Transfer metrics: Num successful transfers=88, Avg xfer time (ms)=20.508, P90 xfer time (ms)=21.103, Avg post time (ms)=0.87, P90 post time (ms)=0.996, Avg MB per transfer=940.0, Throughput (MB/s)=45835.898, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:17:02 [metrics.py:103] KV Transfer metrics: Num successful transfers=80, Avg xfer time (ms)=20.437, P90 xfer time (ms)=21.103, Avg post time (ms)=0.922, P90 post time (ms)=1.062, Avg MB per transfer=940.0, Throughput (MB/s)=45994.165, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:17:12 [metrics.py:103] KV Transfer metrics: Num successful transfers=88, Avg xfer time (ms)=20.585, P90 xfer time (ms)=21.104, Avg post time (ms)=0.941, P90 post time (ms)=1.079, Avg MB per transfer=940.0, Throughput (MB/s)=45664.193, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:17:22 [metrics.py:103] KV Transfer metrics: Num successful transfers=88, Avg xfer time (ms)=20.511, P90 xfer time (ms)=21.102, Avg post time (ms)=0.918, P90 post time (ms)=1.053, Avg MB per transfer=940.0, Throughput (MB/s)=45828.28, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:17:32 [metrics.py:103] KV Transfer metrics: Num successful transfers=80, Avg xfer time (ms)=20.834, P90 xfer time (ms)=21.154, Avg post time (ms)=0.913, P90 post time (ms)=1.067, Avg MB per transfer=940.0, Throughput (MB/s)=45118.448, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:17:42 [metrics.py:103] KV Transfer metrics: Num successful transfers=88, Avg xfer time (ms)=20.747, P90 xfer time (ms)=21.113, Avg post time (ms)=0.882, P90 post time (ms)=1.048, Avg MB per transfer=940.0, Throughput (MB/s)=45307.706, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:17:52 [metrics.py:103] KV Transfer metrics: Num successful transfers=80, Avg xfer time (ms)=20.777, P90 xfer time (ms)=21.191, Avg post time (ms)=0.9, P90 post time (ms)=1.024, Avg MB per transfer=940.0, Throughput (MB/s)=45242.063, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:18:02 [metrics.py:103] KV Transfer metrics: Num successful transfers=88, Avg xfer time (ms)=20.601, P90 xfer time (ms)=21.17, Avg post time (ms)=0.871, P90 post time (ms)=1.042, Avg MB per transfer=940.0, Throughput (MB/s)=45628.324, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:18:12 [metrics.py:103] KV Transfer metrics: Num successful transfers=88, Avg xfer time (ms)=20.489, P90 xfer time (ms)=21.008, Avg post time (ms)=0.885, P90 post time (ms)=1.035, Avg MB per transfer=940.0, Throughput (MB/s)=45879.065, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:18:22 [metrics.py:103] KV Transfer metrics: Num successful transfers=80, Avg xfer time (ms)=20.57, P90 xfer time (ms)=21.019, Avg post time (ms)=0.903, P90 post time (ms)=1.047, Avg MB per transfer=940.0, Throughput (MB/s)=45697.84, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:18:32 [metrics.py:103] KV Transfer metrics: Num successful transfers=88, Avg xfer time (ms)=20.454, P90 xfer time (ms)=20.957, Avg post time (ms)=0.923, P90 post time (ms)=1.038, Avg MB per transfer=940.0, Throughput (MB/s)=45957.777, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:18:42 [metrics.py:103] KV Transfer metrics: Num successful transfers=80, Avg xfer time (ms)=20.666, P90 xfer time (ms)=21.162, Avg post time (ms)=0.898, P90 post time (ms)=1.012, Avg MB per transfer=940.0, Throughput (MB/s)=45486.219, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:18:52 [metrics.py:103] KV Transfer metrics: Num successful transfers=88, Avg xfer time (ms)=20.552, P90 xfer time (ms)=21.094, Avg post time (ms)=0.919, P90 post time (ms)=1.023, Avg MB per transfer=940.0, Throughput (MB/s)=45737.211, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:19:02 [metrics.py:103] KV Transfer metrics: Num successful transfers=80, Avg xfer time (ms)=20.482, P90 xfer time (ms)=21.049, Avg post time (ms)=0.894, P90 post time (ms)=1.043, Avg MB per transfer=940.0, Throughput (MB/s)=45893.199, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:19:12 [metrics.py:103] KV Transfer metrics: Num successful transfers=88, Avg xfer time (ms)=20.534, P90 xfer time (ms)=21.065, Avg post time (ms)=0.905, P90 post time (ms)=1.043, Avg MB per transfer=940.0, Throughput (MB/s)=45776.924, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:19:22 [metrics.py:103] KV Transfer metrics: Num successful transfers=88, Avg xfer time (ms)=20.413, P90 xfer time (ms)=21.109, Avg post time (ms)=0.892, P90 post time (ms)=1.022, Avg MB per transfer=940.0, Throughput (MB/s)=46049.522, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:19:32 [metrics.py:103] KV Transfer metrics: Num successful transfers=80, Avg xfer time (ms)=20.396, P90 xfer time (ms)=21.042, Avg post time (ms)=0.889, P90 post time (ms)=1.021, Avg MB per transfer=940.0, Throughput (MB/s)=46086.621, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:19:42 [metrics.py:103] KV Transfer metrics: Num successful transfers=88, Avg xfer time (ms)=20.44, P90 xfer time (ms)=21.116, Avg post time (ms)=0.879, P90 post time (ms)=1.023, Avg MB per transfer=940.0, Throughput (MB/s)=45988.565, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:19:52 [metrics.py:103] KV Transfer metrics: Num successful transfers=80, Avg xfer time (ms)=20.551, P90 xfer time (ms)=21.117, Avg post time (ms)=0.894, P90 post time (ms)=1.032, Avg MB per transfer=940.0, Throughput (MB/s)=45738.921, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:20:02 [metrics.py:103] KV Transfer metrics: Num successful transfers=88, Avg xfer time (ms)=20.414, P90 xfer time (ms)=21.096, Avg post time (ms)=0.911, P90 post time (ms)=1.024, Avg MB per transfer=940.0, Throughput (MB/s)=46046.446, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:20:12 [metrics.py:103] KV Transfer metrics: Num successful transfers=88, Avg xfer time (ms)=20.682, P90 xfer time (ms)=21.12, Avg post time (ms)=0.934, P90 post time (ms)=1.003, Avg MB per transfer=940.0, Throughput (MB/s)=45450.25, Avg number of descriptors=30080.0
(APIServer pid=1) INFO 08-05 05:20:22 [metrics.py:103] KV Transfer metrics: Num successful transfers=80, Avg xfer time (ms)=20.554, P90 xfer time (ms)=21.127, Avg post time (ms)=0.907, P90 post time (ms)=1.001, Avg MB per transfer=940.0, Throughput (MB/s)=45732.801, Avg number of descriptors=30080.0
